Rank	Previous rank	Movement on previous index	Country/region	RECAI score		Onshore wind	Offshore wind	Solar PV	Solar CSP	Biomass	Geothermal	Hydro
1	1	l	US	72.8		58.3	59.8	57.9	46.3	43.3	46.3	39.9
2	2	l	China Mainland	70.7		54.8	56.8	60.2	53.9	50.8	28.3	54.3
3	3	l	India	70.2		54.3	28.8	62.4	49.6	45.1	25.1	46.2
4	5	s	France	67.4		54.8	51.9	53.1	22.7	45.9	39.0	40.6
5	4	t	UK	67.3		57.1	61.4	46.5	14.8	54.1	28.7	38.7
6	7	s	Germany	67.0		51.3	51.4	52.4	16.8	49.3	40.3	34.3
7	6	t	Australia	66.9		53.3	33.1	56.1	41.5	38.5	17.4	26.6
8	8	l	Japan	65.4		50.1	51.3	49.6	19.3	55.6	44.5	40.0
9	11	s	Brazil	61.9		54.0	31.0	52.4	21.8	47.9	12.9	45.7
10	10	l	Spain	61.2		47.8	26.1	51.0	28.0	36.6	14.6	22.4
11	9	t	Netherlands	61.0		48.3	44.8	46.3	15.0	44.4	18.4	21.2
12	12	l	Chile	60.8		50.4	20.4	48.6	44.5	41.4	46.3	44.0
13	15	s	Italy	59.7		44.7	31.2	48.8	41.3	38.9	42.2	44.9
14	14	l	Ireland	59.6		47.5	41.3	43.9	18.7	41.8	18.2	22.2
15	13	t	Denmark	59.3		49.4	49.0	43.5	15.2	40.1	14.3	17.0
16	16	l	Morocco	58.1		45.0	17.2	50.4	49.6	25.8	13.7	33.7
 17	18	s	Israel	58.0		40.1	14.4	54.4	40.2	28.1	13.9	16.9
18	19	s	Canada	57.9		51.8	26.7	43.9	18.3	33.6	17.9	45.6
19	20	s	Egypt	57.8		48.2	15.4	54.5	35.3	20.4	12.0	23.6
20	24	s	Sweden	57.7		49.3	39.2	40.9	14.6	42.6	17.2	33.0
21	17	t	South Korea	57.6		38.1	39.6	50.0	17.9	47.6	13.8	33.4
22	22	l	Poland	57.5		44.5	33.8	47.5	12.9	40.2	17.0	32.5
23	21	t	Portugal	56.9		42.1	22.5	46.5	36.5	37.7	22.9	35.9
24	26	s	Greece	56.7		46.6	28.3	45.5	40.8	39.3	24.4	36.5
25	23	t	Argentina	56.7		49.4	23.5	48.3	31.9	36.0	15.4	26.7
26	30	s	Belgium	56.2		48.5	27.6	41.3	17.7	41.5	22.1	26.5
27	31	s	Philippines	55.8		41.9	17.8	47.1	20.1	39.0	43.1	40.3
28	25	t	Turkey	55.8		47.2	21.1	47.9	28.0	37.4	43.6	44.1
29	34	s	Vietnam	55.7		44.2	42.9	46.9	16.8	37.1	13.0	46.1
30	28	t	Taiwan	55.7		39.9	45.6	45.4	17.5	33.6	27.3	31.3
31	27	t	Finland	55.7		55.9	30.7	33.4	14.9	50.4	14.9	22.3
32	29	t	Norway	54.7		50.1	39.3	37.6	13.7	27.9	16.2	44.8
33	33	l	Mexico	54.3		42.8	19.0	47.7	23.9	34.8	42.7	32.2
34	35	s	South Africa	54.2		46.1	17.6	47.4	44.2	30.1	12.0	24.8
35	32	t	Switzerland	54.0		40.5	18.0	42.9	17.9	36.5	18.8	38.9
36	36	l	Kazakhstan	53.5		45.6	13.6	45.1	17.4	26.5	14.4	37.2
37	38	s	Hungary	51.9		39.1	11.0	45.1	19.9	28.4	31.2	20.4
38	37	t	Jordan	51.5		39.9	13.8	44.2	30.3	20.2	13.3	15.9
39	46	s	Indonesia	51.4		38.2	18.2	45.3	17.1	42.2	57.6	45.9
40	40	l	Kenya	51.1		40.8	14.9	43.3	21.1	30.1	53.0	36.3
